world,class,operation,passed,shortest_witness
70,mutation,metric,1,out_edge_type=G
70,mutation,edge_type,1,out_edge_type=G
70,mutation,boundary,1,boundary=open
70,mutation,warrant,1,warrant=definition
70,mutation,continuation,1,continuation=0
70,mutation,role,1,role=participant
71,admissible,rename,1,
71,admissible,rigid_isometry,1,
71,admissible,edge_order,1,
71,admissible,full_iso,1,
71,mutation,metric,1,out_edge_type=G
71,mutation,edge_type,1,out_edge_type=G
71,mutation,boundary,1,boundary=open
71,mutation,warrant,1,warrant=definition
71,mutation,continuation,1,continuation=0
71,mutation,role,1,role=participant
72,admissible,rename,1,
72,admissible,rigid_isometry,1,
72,admissible,edge_order,1,
72,admissible,full_iso,1,
72,mutation,metric,1,out_edge_type=G
72,mutation,edge_type,1,out_edge_type=G
72,mutation,boundary,1,boundary=open
72,mutation,warrant,1,warrant=definition
72,mutation,continuation,1,continuation=0
72,mutation,role,1,role=participant
73,admissible,rename,1,
73,admissible,rigid_isometry,1,
73,admissible,edge_order,1,
73,admissible,full_iso,1,
73,mutation,metric,1,exists_metric_le=1.25
73,mutation,edge_type,1,out_edge_type=G
73,mutation,boundary,1,boundary=open
73,mutation,warrant,1,warrant=definition
73,mutation,continuation,1,continuation=0
73,mutation,role,1,role=participant
74,admissible,rename,1,
74,admissible,rigid_isometry,1,
74,admissible,edge_order,1,
74,admissible,full_iso,1,
74,mutation,metric,1,out_edge_type=G
74,mutation,edge_type,1,out_edge_type=G
74,mutation,boundary,1,boundary=open
74,mutation,warrant,1,warrant=definition
74,mutation,continuation,1,continuation=0
74,mutation,role,1,role=participant
75,admissible,rename,1,
75,admissible,rigid_isometry,1,
75,admissible,edge_order,1,
75,admissible,full_iso,1,
75,mutation,metric,1,out_edge_type=G
75,mutation,edge_type,1,out_edge_type=G
75,mutation,boundary,1,boundary=open
75,mutation,warrant,1,warrant=definition
75,mutation,continuation,1,continuation=0
75,mutation,role,1,role=participant
76,admissible,rename,1,
76,admissible,rigid_isometry,1,
76,admissible,edge_order,1,
76,admissible,full_iso,1,
76,mutation,metric,1,out_edge_type=G
76,mutation,edge_type,1,out_edge_type=G
76,mutation,boundary,1,boundary=open
76,mutation,warrant,1,warrant=definition
76,mutation,continuation,1,continuation=0
76,mutation,role,1,role=participant
77,admissible,rename,1,
77,admissible,rigid_isometry,1,
77,admissible,edge_order,1,
77,admissible,full_iso,1,
77,mutation,metric,1,exists_metric_le=1.25
77,mutation,edge_type,1,out_edge_type=G
77,mutation,boundary,1,boundary=open
77,mutation,warrant,1,warrant=definition
77,mutation,continuation,1,continuation=0
77,mutation,role,1,role=participant
78,admissible,rename,1,
78,admissible,rigid_isometry,1,
78,admissible,edge_order,1,
78,admissible,full_iso,1,
78,mutation,metric,1,exists_same_type_metric_le=1.25
78,mutation,edge_type,1,out_edge_type=G
78,mutation,boundary,1,boundary=open
78,mutation,warrant,1,warrant=definition
78,mutation,continuation,1,continuation=0
78,mutation,role,1,role=participant
79,admissible,rename,1,
79,admissible,rigid_isometry,1,
79,admissible,edge_order,1,
79,admissible,full_iso,1,
79,mutation,metric,1,out_edge_type=G
79,mutation,edge_type,1,out_edge_type=G
79,mutation,boundary,1,boundary=open
79,mutation,warrant,1,warrant=definition
79,mutation,continuation,1,continuation=0
79,mutation,role,1,role=participant
80,admissible,rename,1,
80,admissible,rigid_isometry,1,
80,admissible,edge_order,1,
80,admissible,full_iso,1,
80,mutation,metric,1,out_edge_type=G
80,mutation,edge_type,1,out_edge_type=G
80,mutation,boundary,1,boundary=open
80,mutation,warrant,1,warrant=definition
80,mutation,continuation,1,continuation=0
80,mutation,role,1,role=participant
81,admissible,rename,1,
81,admissible,rigid_isometry,1,
81,admissible,edge_order,1,
81,admissible,full_iso,1,
81,mutation,metric,1,out_edge_type=G
81,mutation,edge_type,1,out_edge_type=G
81,mutation,boundary,1,boundary=open
81,mutation,warrant,1,warrant=definition
